#Tenor,Date,EUR,USD
16Y10M,2038-11-30,0.614441240630747,0.583648867844646
16Y11M,2038-12-31,0.612929684978406,0.582137767832034
17Y,2039-01-31,0.611421847827265,0.580630580143037
17Y1M,2039-02-28,0.610063118922073,0.579272603626805
17Y2M,2039-03-31,0.608562333664325,0.577772834010394
17Y3M,2039-05-02,0.607017008448254,0.576228757510885
17Y4M,2039-05-31,0.605619947216588,0.574833002815059
17Y5M,2039-06-30,0.604178094956740,0.573392676257829
17Y6M,2039-08-01,0.602643902658783,0.571860305567683
17Y7M,2039-08-31,0.601209135727928,0.570427427529886
17Y8M,2039-09-30,0.599777784671914,0.568998139773581
17Y9M,2039-10-31,0.598302301841956,0.567524971326663
17Y10M,2039-11-30,0.596877871339050,0.566102956090778
17Y11M,2040-01-02,0.595314914387080,0.564542854325368
18Y,2040-01-31,0.593944785748265,0.563175405495977
18Y1M,2040-02-29,0.592577810486666,0.561811268932939
18Y2M,2040-04-03,0.590979155837815,0.560216143725494
18Y3M,2040-04-30,0.589712708881861,0.558952653579158
18Y4M,2040-05-31,0.588261986633054,0.557505493465591
18Y5M,2040-07-02,0.586768210184344,0.556015580683033
18Y6M,2040-07-31,0.585417751948391,0.554668786814148
18Y7M,2040-08-31,0.583977595504743,0.553232717874538
18Y8M,2040-10-01,0.582540981916730,0.551800366998840
18Y9M,2040-10-31,0.581154075763636,0.550417752015035
18Y10M,2040-11-30,0.579770471539054,0.549038601371430
18Y11M,2040-12-31,0.578344207682782,0.547617109301171
19Y,2041-01-31,0.576921452505698,0.546199297554483
19Y1M,2041-02-28,0.575639391918019,0.544921848786492
19Y2M,2041-04-01,0.574177668083850,0.543465565328269
19Y3M,2041-04-30,0.572856187220869,0.542149170398409
19Y4M,2041-05-31,0.571446932843864,0.540745515455580
19Y5M,2041-07-01,0.570041145301891,0.539345494654988
19Y6M,2041-07-31,0.568683998600668,0.537994087140684
19Y7M,2041-09-02,0.567194868827615,0.536511449546060
19Y8M,2041-09-30,0.565934423088079,0.535256658678872
19Y9M,2041-10-31,0.564542196591051,0.533870848839701
19Y10M,2041-12-02,0.563108651917533,0.532444098769532
19Y11M,2041-12-31,0.561812646606544,0.531154400292259
20Y,2042-01-31,0.560430559882251,0.529779211432656
