#Tenor,Date,USD,VND
5Y,2031-05-28,0.799327104522942,0.476680692809133
5Y1M,2031-06-30,0.796399469720447,0.470506041663588
5Y2M,2031-07-28,0.793924638141366,0.465329707976333
5Y3M,2031-08-28,0.791193615773742,0.459665168300508
5Y4M,2031-09-29,0.788384349450786,0.453890219902194
5Y5M,2031-10-28,0.785847068708150,0.448719366567282
5Y6M,2031-11-28,0.783143832381844,0.443257027473813
5Y7M,2031-12-29,0.780449894921598,0.437861182386610
5Y8M,2032-01-28,0.777851682299386,0.432701945483316
5Y9M,2032-03-01,0.775003637785000,0.427096970069664
5Y10M,2032-03-30,0.772509420583714,0.422231353461992
5Y11M,2032-04-28,0.770023230595649,0.417421167416071
6Y,2032-05-28,0.767459729607119,0.412502771408892
6Y1M,2032-06-28,0.764861554811475,0.407481303243459
6Y2M,2032-07-28,0.762363323237938,0.402680026807769
6Y3M,2032-08-30,0.759624692115146,0.397463938289135
6Y4M,2032-09-28,0.757226138972042,0.392935910055231
6Y5M,2032-10-28,0.754752846600649,0.388306019283145
6Y6M,2032-11-29,0.752123571615665,0.383427583023976
6Y7M,2032-12-28,0.749748703637535,0.379059461153440
6Y8M,2033-01-28,0.747218343390834,0.374445104235335
6Y9M,2033-02-28,0.744696522969472,0.369886918688609
6Y10M,2033-03-28,0.742426065872232,0.365817559428284
6Y11M,2033-04-28,0.739920419121415,0.361364398488900
7Y,2033-05-30,0.737342814733917,0.356824440062255
7Y1M,2033-06-28,0.734992485242161,0.352759389164547
7Y2M,2033-07-28,0.732566360357094,0.348602890868349
7Y3M,2033-08-29,0.729987320153702,0.344223260117317
7Y4M,2033-09-28,0.727577716737654,0.340167341442614
7Y5M,2033-10-28,0.725176067142807,0.336159212903563
7Y6M,2033-11-28,0.722702690604857,0.332067088188020
7Y7M,2033-12-28,0.720317132905442,0.328154403427040
7Y8M,2034-01-30,0.717702113423312,0.323903677535258
7Y9M,2034-02-28,0.715411904296132,0.320213669824727
7Y10M,2034-03-28,0.713207602616907,0.316690797301406
7Y11M,2034-04-28,0.710775047226668,0.312835665003741
8Y,2034-05-29,0.708350788615242,0.309027461903764
8Y1M,2034-06-28,0.706006824286247,0.305386248775678
8Y2M,2034-07-28,0.703669976079924,0.301787939384893
8Y3M,2034-08-28,0.701263358527891,0.298114222175292
8Y4M,2034-09-28,0.698864971834413,0.294485225765879
8Y5M,2034-10-30,0.696397821392849,0.290785495831693
8Y6M,2034-11-28,0.694169490219257,0.287472780366730
8Y7M,2034-12-28,0.691871823012225,0.284085542043670
8Y8M,2035-01-29,0.689429359957925,0.280516467292858
8Y9M,2035-02-28,0.687147382351217,0.277211193913403
8Y10M,2035-03-28,0.685024351782889,0.274161418746936
8Y11M,2035-04-30,0.682530627998422,0.270610087333965
9Y,2035-05-28,0.680421861488823,0.267632935103942
9Y1M,2035-06-28,0.678131608790184,0.264374992717141
9Y2M,2035-07-30,0.675779624521681,0.261053549096798
9Y3M,2035-08-28,0.673655185706299,0.258079548874390
9Y4M,2035-09-28,0.671391618672009,0.254937901524007
9Y5M,2035-10-29,0.669135657510615,0.251834497994638
9Y6M,2035-11-28,0.666959687021585,0.248867178926766
9Y7M,2035-12-28,0.664790792597798,0.245934823227777
9Y8M,2036-01-28,0.662557011050868,0.242941015740395
9Y9M,2036-02-28,0.660330735293813,0.239983652393594
9Y10M,2036-03-28,0.658254862932255,0.237249686745312
9Y11M,2036-04-28,0.656043042939610,0.234361604938779
10Y,2036-05-28,0.653909648485216,0.231600165721160
10Y1M,2036-06-30,0.651611101691916,0.228600148623444
10Y2M,2036-07-28,0.649669349475576,0.226085174222590
10Y3M,2036-08-28,0.647526301085362,0.223332999973778
10Y4M,2036-09-29,0.645321536797149,0.220527182523529
10Y5M,2036-10-28,0.643329954176927,0.218014870807633
10Y6M,2036-11-28,0.641207817394904,0.215360937769529
10Y7M,2036-12-29,0.639092680853570,0.212739311521070
10Y8M,2037-01-28,0.637052417934404,0.210232643766696
10Y9M,2037-03-02,0.634815650910958,0.207509409420839
10Y10M,2037-03-30,0.632923947878392,0.205226467542750
10Y11M,2037-04-28,0.630970626529823,0.202888466154805
11Y,2037-05-28,0.628956292754833,0.200497869079876
11Y1M,2037-06-29,0.626779189859444,0.197978938067137
11Y2M,2037-07-28,0.624808110230090,0.195723502705768
11Y3M,2037-08-28,0.622707948156677,0.193340926378566
11Y4M,2037-09-28,0.620614845339798,0.190987353568450
11Y5M,2037-10-28,0.618595960971000,0.188736985090427
11Y6M,2037-11-30,0.616382772816038,0.186292193306796
11Y7M,2037-12-28,0.614511126865133,0.184242675403738
11Y8M,2038-01-28,0.612445575952458,0.181999857189222
11Y9M,2038-03-01,0.610320676580098,0.179713323737810
11Y10M,2038-03-29,0.608467438181082,0.177736184127820
11Y11M,2038-04-28,0.606488069802946,0.175641951715609
12Y,2038-05-28,0.604515140387573,0.173572395254544
12Y1M,2038-06-28,0.602473322353900,0.171459468220886
12Y2M,2038-07-28,0.600502105830003,0.169439193185217
12Y3M,2038-08-30,0.598341216095410,0.167244374045101
12Y4M,2038-09-28,0.596448672546902,0.165339076042727
12Y5M,2038-10-28,0.594497167915316,0.163390916450167
12Y6M,2038-11-29,0.592422600235930,0.161338174201409
12Y7M,2038-12-28,0.590548777173259,0.159500161396688
12Y8M,2039-01-28,0.588552278548351,0.157558538119590
12Y9M,2039-02-28,0.586562529589031,0.155640550561210
12Y10M,2039-03-28,0.584771119479938,0.153928250710342
12Y11M,2039-04-28,0.582794153679559,0.152054455273616
13Y,2039-05-30,0.580760425042637,0.150144137299806
13Y1M,2039-06-28,0.578923489250690,0.148433650316320
13Y2M,2039-07-28,0.577029324802670,0.146684684211975
13Y3M,2039-08-29,0.575015713213079,0.144841828715051
13Y4M,2039-09-28,0.573134334514089,0.143135184376829
13Y5M,2039-10-28,0.571259111448290,0.141448649111539
13Y6M,2039-11-28,0.569327826388431,0.139726770041172
13Y7M,2039-12-28,0.567465057735860,0.138080395488294
13Y8M,2040-01-30,0.565423050878438,0.136291780415268
13Y9M,2040-02-28,0.563634626951868,0.134739103630487
13Y10M,2040-03-28,0.561851859781132,0.133204115404697
13Y11M,2040-04-30,0.559830051856771,0.131478664896249
14Y,2040-05-28,0.558120284928814,0.130032185187186
14Y1M,2040-06-28,0.556233418975544,0.128449280722887
14Y2M,2040-07-30,0.554292377141405,0.126835523538026
14Y3M,2040-08-28,0.552539159355086,0.125390575263940
14Y4M,2040-09-28,0.550671161800100,0.123864173926605
14Y5M,2040-10-29,0.548809479480525,0.122356353738910
14Y6M,2040-11-28,0.547013844264352,0.120914651571750
14Y7M,2040-12-28,0.545224084139535,0.119489936713178
14Y8M,2041-01-28,0.543380817035569,0.118035364877829
14Y9M,2041-02-28,0.541543781559506,0.116598499799069
14Y10M,2041-03-28,0.539889862401933,0.115315726170362
14Y11M,2041-04-29,0.538005853327685,0.113866970828272
15Y,2041-05-28,0.536304149551671,0.112569764191014
15Y1M,2041-06-28,0.534515268820800,0.111199432822464
15Y2M,2041-07-29,0.532734020550174,0.109845782736611
15Y3M,2041-08-28,0.531015883900194,0.108551490301559
15Y4M,2041-09-30,0.529132332999573,0.107145375906635
15Y5M,2041-10-28,0.527539408886070,0.105966602055447
15Y6M,2041-11-28,0.525781407357249,0.104676652130981
15Y7M,2041-12-30,0.523972840864989,0.103361559523901
15Y8M,2042-01-28,0.522339201613529,0.102184033678816
15Y9M,2042-02-28,0.520598529543287,0.100940129618775
15Y10M,2042-03-28,0.519031295981009,0.099829623595315
15Y11M,2042-04-28,0.517301647358611,0.098614380179765
16Y,2042-05-28,0.515633282123546,0.097452425272856
16Y1M,2042-06-30,0.513804294399487,0.096190081866831
16Y2M,2042-07-28,0.512257514512629,0.095131834114290
16Y3M,2042-08-28,0.510550439214568,0.093973777709257
16Y4M,2042-09-29,0.508794263731655,0.092793149385662
16Y5M,2042-10-28,0.507207948153203,0.091736022034336
16Y6M,2042-11-28,0.505517700309603,0.090619303441888
16Y7M,2042-12-29,0.503833085141483,0.089516178859590
16Y8M,2043-01-28,0.502208157774989,0.088461426367266
16Y9M,2043-03-02,0.500426789916596,0.087315547258053
16Y10M,2043-03-31,0.498866562395757,0.086320822390823
16Y11M,2043-04-28,0.497364751738760,0.085371152585791
17Y,2043-05-28,0.495760685590538,0.084365240167392
17Y1M,2043-06-29,0.494055383441027,0.083305327556699
17Y2M,2043-07-28,0.492515020651514,0.082356288313454
17Y3M,2043-08-28,0.490873736332867,0.081353750855155
17Y4M,2043-09-28,0.489237921520939,0.080363417460152
17Y5M,2043-10-28,0.487660065459377,0.079416510253682
17Y6M,2043-11-30,0.485930300713460,0.078387793854192
17Y7M,2043-12-28,0.484467433968765,0.077525400299027
17Y8M,2044-01-28,0.482852967873465,0.076581670082901
17Y9M,2044-02-29,0.481192065288921,0.075619545424597
17Y10M,2044-03-28,0.479743462744300,0.074787607116191
17Y11M,2044-04-28,0.478144739072210,0.073877204533876
18Y,2044-05-30,0.476500031706305,0.072949057105233
18Y1M,2044-06-28,0.475014402882810,0.072117999596894
18Y2M,2044-07-28,0.473482419522673,0.071268246616089
18Y3M,2044-08-29,0.471853749458193,0.070372876518398
18Y4M,2044-09-28,0.470331959617294,0.069543685998367
18Y5M,2044-10-28,0.468815077746973,0.068724265676067
18Y6M,2044-11-28,0.467252772430003,0.067887673206381
18Y7M,2044-12-28,0.465745821339687,0.067087765374918
18Y8M,2045-01-30,0.464093787967725,0.066218748539176
18Y9M,2045-02-28,0.462646839253492,0.065464364721892
18Y10M,2045-03-28,0.461254066103333,0.064744149960724
18Y11M,2045-04-28,0.459716957520115,0.063956008133664
19Y,2045-05-29,0.458184971282628,0.063177460494494
19Y1M,2045-06-28,0.456707265032860,0.062433052223674
19Y2M,2045-07-28,0.455234324578344,0.061697415177106
19Y3M,2045-08-28,0.453717276515015,0.060946361783832
19Y4M,2045-09-28,0.452205283946630,0.060204451094478
19Y5M,2045-10-30,0.450649802309727,0.059448079669371
19Y6M,2045-11-28,0.449244769170031,0.058770829339812
19Y7M,2045-12-28,0.447795896237295,0.058078343584591
19Y8M,2046-01-29,0.446255581874759,0.057348683257051
19Y9M,2046-02-28,0.444816349460645,0.056672954384713
19Y10M,2046-03-28,0.443477254030359,0.056049459472935
19Y11M,2046-04-30,0.441904208841770,0.055323426586849
20Y,2046-05-28,0.440573880252452,0.054714778681450
